EmotionCategory,Probability,FrameID
Awe,0.1621978,frame00073
Boredom,0.04440044,frame00073
Confusion,0.001044854,frame00073
Craving,6.541792e-06,frame00073
Disgust,0.002845105,frame00073
Empathic Pain,0.00021772,frame00073
Entrancement,0.0001298022,frame00073
Excitement,0.0002621422,frame00073
Fear,0.004875771,frame00073
Horror,0.05241458,frame00073
Interest,0.002042276,frame00073
Joy,0.0006864732,frame00073
Romance,0.1061402,frame00073
Sadness,0.4076442,frame00073
Sexual Desire,0.00185319,frame00073
Surprise,0.0001145508,frame00073
Adoration,0.004128458,frame00081
Aesthetic Appreciation,0.1848787,frame00081
Amusement,0.0003743579,frame00081
Anxiety,0.0001577118,frame00081
Awe,0.1427557,frame00081
Boredom,0.03543147,frame00081
Confusion,0.001860539,frame00081
Craving,6.893783e-06,frame00081
Disgust,0.003547149,frame00081
Empathic Pain,0.0002249826,frame00081
Entrancement,0.0001441689,frame00081
Excitement,0.0003702423,frame00081
Fear,0.01270619,frame00081
Horror,0.05241846,frame00081
Interest,0.001255186,frame00081
Joy,0.0004879189,frame00081
Romance,0.2002384,frame00081
Sadness,0.3573825,frame00081
Sexual Desire,0.001495044,frame00081
Surprise,0.000135984,frame00081
Adoration,0.003012917,frame00089
Aesthetic Appreciation,0.22364,frame00089
Amusement,0.0002318115,frame00089
Anxiety,0.0001716727,frame00089
Awe,0.1945252,frame00089
Boredom,0.0339879,frame00089
Confusion,0.001991853,frame00089
Craving,6.879374e-06,frame00089
Disgust,0.005506458,frame00089
Empathic Pain,0.0002954892,frame00089
Entrancement,0.000176953,frame00089
Excitement,0.0001981475,frame00089
Fear,0.01702863,frame00089
Horror,0.06996211,frame00089
Interest,0.001196344,frame00089
Joy,0.0004133648,frame00089
Romance,0.2164515,frame00089
Sadness,0.2284776,frame00089
Sexual Desire,0.00255745,frame00089
Surprise,0.0001678996,frame00089
Adoration,0.003117552,frame00097
Aesthetic Appreciation,0.1601865,frame00097
Amusement,0.0001960896,frame00097
Anxiety,0.0001201572,frame00097
Awe,0.1685889,frame00097
Boredom,0.01782825,frame00097
Confusion,0.001261682,frame00097
Craving,4.054446e-06,frame00097
Disgust,0.003948383,frame00097
Empathic Pain,0.0002224755,frame00097
Entrancement,8.892365e-05,frame00097
Excitement,0.0002709629,frame00097
Fear,0.0187874,frame00097
Horror,0.06988232,frame00097
Interest,0.0009949927,frame00097
Joy,0.0005181194,frame00097
Romance,0.2196444,frame00097
Sadness,0.3321631,frame00097
Sexual Desire,0.002047922,frame00097
Surprise,0.0001278896,frame00097
Adoration,0.00329481,frame00105
Aesthetic Appreciation,0.1364923,frame00105
Amusement,0.00022475,frame00105
Anxiety,0.0001551876,frame00105
Awe,0.1774339,frame00105
Boredom,0.01772062,frame00105
Confusion,0.0009135059,frame00105
Craving,5.100039e-06,frame00105
Disgust,0.005190414,frame00105
Empathic Pain,0.0002168559,frame00105
Entrancement,8.997203e-05,frame00105
Excitement,0.0002389311,frame00105
Fear,0.01576384,frame00105
Horror,0.07605692,frame00105
Interest,0.001189894,frame00105
Joy,0.0007489797,frame00105
Romance,0.1592246,frame00105
Sadness,0.4033269,frame00105
Sexual Desire,0.00152829,frame00105
Surprise,0.0001842868,frame00105
Adoration,0.004151799,frame00113
Aesthetic Appreciation,0.08777092,frame00113
Amusement,0.0002185732,frame00113
Anxiety,0.000128551,frame00113
Awe,0.14671,frame00113
Boredom,0.01929764,frame00113
Confusion,0.001154812,frame00113
Craving,6.245244e-06,frame00113
Disgust,0.008483332,frame00113
Empathic Pain,0.0001893052,frame00113
Entrancement,9.189571e-05,frame00113
Excitement,0.0002588491,frame00113
Fear,0.01543243,frame00113
Horror,0.104913,frame00113
Interest,0.002127234,frame00113
Joy,0.001041277,frame00113
Romance,0.3031659,frame00113
Sadness,0.3020183,frame00113
Sexual Desire,0.002597015,frame00113
Surprise,0.0002428842,frame00113
Adoration,0.004996004,frame00121
Aesthetic Appreciation,0.0928949,frame00121
Amusement,0.0002828146,frame00121
Anxiety,0.0001416757,frame00121
Awe,0.1192216,frame00121
Boredom,0.0195049,frame00121
Confusion,0.002287105,frame00121
Craving,5.631003e-06,frame00121
Disgust,0.01153371,frame00121
Empathic Pain,0.0001768067,frame00121
Entrancement,7.839006e-05,frame00121
Excitement,0.0004512869,frame00121
Fear,0.01984401,frame00121
Horror,0.18478,frame00121
Interest,0.003098612,frame00121
Joy,0.001128342,frame00121
Romance,0.2326711,frame00121
Sadness,0.3042763,frame00121
Sexual Desire,0.002373268,frame00121
Surprise,0.0002536117,frame00121
Adoration,0.005620197,frame00129
Aesthetic Appreciation,0.08452162,frame00129
Amusement,0.0002504846,frame00129
Anxiety,0.0002151423,frame00129
Awe,0.1498823,frame00129
Boredom,0.01987655,frame00129
Confusion,0.002113927,frame00129
Craving,4.95164e-06,frame00129
Disgust,0.01263805,frame00129
Empathic Pain,0.0001962678,frame00129
Entrancement,0.0001583781,frame00129
Excitement,0.0002931322,frame00129
Fear,0.01659204,frame00129
Horror,0.1934066,frame00129
Interest,0.003490566,frame00129
Joy,0.0007737462,frame00129
Romance,0.215112,frame00129
Sadness,0.2918654,frame00129
Sexual Desire,0.002754236,frame00129
Surprise,0.0002343826,frame00129
Adoration,0.006417687,frame00137
Aesthetic Appreciation,0.0644798,frame00137
Amusement,0.0003456608,frame00137
Anxiety,0.0002970658,frame00137
Awe,0.1537473,frame00137
Boredom,0.0188028,frame00137
Confusion,0.001893679,frame00137
Craving,6.47216e-06,frame00137
Disgust,0.01534746,frame00137
Empathic Pain,0.0001898287,frame00137
Entrancement,0.0001638587,frame00137
Excitement,0.0003381312,frame00137
Fear,0.01813542,frame00137
Horror,0.1945658,frame00137
Interest,0.005608944,frame00137
Joy,0.0008144649,frame00137
Romance,0.2084639,frame00137
Sadness,0.3072673,frame00137
Sexual Desire,0.002834781,frame00137
Surprise,0.0002796274,frame00137
Adoration,0.006829129,frame00145
Aesthetic Appreciation,0.07514708,frame00145
Amusement,0.0003280344,frame00145
Anxiety,0.0003252713,frame00145
Awe,0.148822,frame00145
Boredom,0.02690983,frame00145
Confusion,0.00245664,frame00145
Craving,6.142094e-06,frame00145
Disgust,0.02007189,frame00145
Empathic Pain,0.0001939175,frame00145
Entrancement,0.0001745581,frame00145
Excitement,0.000333744,frame00145
Fear,0.01900817,frame00145
Horror,0.1885192,frame00145
Interest,0.00647155,frame00145
Joy,0.0008580437,frame00145
Romance,0.2047468,frame00145
Sadness,0.2953707,frame00145
Sexual Desire,0.003120605,frame00145
Surprise,0.0003066562,frame00145
Adoration,0.006912234,frame00153
Aesthetic Appreciation,0.1106494,frame00153
Amusement,0.0003235472,frame00153
Anxiety,0.0003678784,frame00153
Awe,0.1619834,frame00153
Boredom,0.03092893,frame00153
Confusion,0.002871434,frame00153
Craving,7.14462e-06,frame00153
Disgust,0.02321928,frame00153
Empathic Pain,0.0002236016,frame00153
Entrancement,0.000165076,frame00153
Excitement,0.0003529087,frame00153
Fear,0.02388931,frame00153
Horror,0.1648269,frame00153
Interest,0.006844705,frame00153
Joy,0.0009358931,frame00153
Romance,0.1479431,frame00153
Sadness,0.3144934,frame00153
Sexual Desire,0.002750276,frame00153
Surprise,0.0003114358,frame00153
