"","PID","Condition","CertRate","CertRateVar","Video","SecondEnd"
"X701","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",157
"X711","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",159
"X721","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",161
"X731","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",163
"X741","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",165
"X751","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",167
"X761","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",169
"X771","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",171
"X781","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",173
"X791","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",175
"X801","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",177
"X811","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",179
"X821","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",181
"X831","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",183
"X841","SR-0208","A",0,0,"StimVidTestFirstHalf_comp.mp4",185
"X851","SR-0208","A",-1,4.03361344537815,"StimVidTestFirstHalf_comp.mp4",187
"X861","SR-0208","A",-9.66386554621849,1.58097137159949,"StimVidTestFirstHalf_comp.mp4",189
"X871","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",191
"X881","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",193
"X891","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",195
"X901","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",197
"X911","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",199
"X921","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",201
"X931","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",203
"X941","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",205
"X951","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",207
"X961","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",209
"X971","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",211
"X981","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",213
"X991","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",215
"X1001","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",217
"X1011","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",219
"X1021","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",221
"X1031","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",223
"X1041","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",225
"X1051","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",227
"X1061","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",229
"X1071","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",231
"X1081","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",233
"X1091","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",235
"X1101","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",237
"X1111","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",239
"X1121","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",241
"X1131","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",243
"X1141","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",245
"X1151","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",247
"X1161","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",249
"X1171","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",251
"X1181","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",253
"X1191","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",255
"X1201","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",257
"X1211","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",259
"X1221","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",261
"X1231","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",263
"X1241","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",265
"X1251","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",267
