"","var1","var2","value"
"121","SR-4407","SR-0756",0.664684578499976
"122","SR-4590","SR-0756",0.406192314107524
"123","SR-4781","SR-0756",0.412068349408026
"124","SR-5006","SR-0756",0.320305034019303
"125","SR-5849","SR-0756",0.510028592320999
"126","SR-6021","SR-0756",0.650151678795453
"127","SR-6215","SR-0756",0.644993345083729
"128","SR-6269","SR-0756",0.619585982090666
"129","SR-6773","SR-0756",-0.339585058362498
"130","SR-6799","SR-0756",0.38072357779218
"131","SR-6971","SR-0756",0.814691110700007
"132","SR-6977","SR-0756",0.382260489345002
"133","SR-7255","SR-0756",0.647155253192425
"134","SR-7492","SR-0756",0.818677543697018
"135","SR-7758","SR-0756",0.577431950241858
"136","SR-8607","SR-0756",0.662072368798187
"137","SR-8621","SR-0756",0.651028213786658
"138","SR-8746","SR-0756",0.478538417383099
"139","SR-8929","SR-0756",0.505682950545452
"140","SR-9436","SR-0756",0.310671618096819
"141","SR-9827","SR-0756",0.683496131264932
"142","SR-9907","SR-0756",0.580089640589963
"143","SR-1371","SR-0757",-0.171297081495726
"144","SR-2579","SR-0757",0.108825077527421
"145","SR-2610","SR-0757",0.348946305840396
"146","SR-2758","SR-0757",0.75262274061892
"147","SR-3011","SR-0757",0.426680058003505
"148","SR-30461","SR-0757",0.256904679319281
"149","SR-3274","SR-0757",-0.429427344407367
"150","SR-3801","SR-0757",0.836586484591005
"151","SR-3951","SR-0757",0.813486053867697
"152","SR-3952","SR-0757",0.636859939252173
"153","SR-3981","SR-0757",0.705651219875352
"154","SR-4407","SR-0757",0.640100725283056
"155","SR-4590","SR-0757",0.425606944530776
"156","SR-4781","SR-0757",0.597916130764781
"157","SR-5006","SR-0757",0.293587984944535
"158","SR-5849","SR-0757",0.514635662269775
"159","SR-6021","SR-0757",0.840959484382615
"160","SR-6215","SR-0757",0.719743973605261
"161","SR-6269","SR-0757",0.773622558447748
"162","SR-6773","SR-0757",-0.317161818768825
"163","SR-6799","SR-0757",0.415017100892393
"164","SR-6971","SR-0757",0.756318752974774
"165","SR-6977","SR-0757",0.407190243049718
"166","SR-7255","SR-0757",0.593008358924452
"167","SR-7492","SR-0757",0.700351319740048
"168","SR-7758","SR-0757",0.474113218323109
"169","SR-8607","SR-0757",0.866451635794619
"170","SR-8621","SR-0757",0.824106737394694
"171","SR-8746","SR-0757",0.483621870734004
"172","SR-8929","SR-0757",0.709161751490903
"173","SR-9436","SR-0757",0.390688923567668
"174","SR-9827","SR-0757",0.846985563356832
"175","SR-9907","SR-0757",0.777976164243686
"176","SR-2579","SR-1371",-0.933309466565038
"177","SR-2610","SR-1371",-0.331451768580477
"178","SR-2758","SR-1371",0.072305175448889
"179","SR-3011","SR-1371",-0.59443490396857
"180","SR-30461","SR-1371",0.383337340724642
"181","SR-3274","SR-1371",0.864526560901821
"182","SR-3801","SR-1371",-0.225888242162338
"183","SR-3951","SR-1371",-0.0900288327536521
"184","SR-3952","SR-1371",-0.0838190900053956
"185","SR-3981","SR-1371",-0.226840741192071
"186","SR-4407","SR-1371",0.000699563192064254
"187","SR-4590","SR-1371",0.182919876401772
"188","SR-4781","SR-1371",-0.246466750976574
"189","SR-5006","SR-1371",-0.0326883288867146
"190","SR-5849","SR-1371",-0.291762149336919
"191","SR-6021","SR-1371",-0.139665009812818
"192","SR-6215","SR-1371",0.162121399640862
