"","var1","var2","value"
"119","SR-7255","SR-5849",0.700974680561838
"120","SR-7492","SR-5849",-0.55199180889128
"121","SR-8929","SR-5849",-0.339071328354982
"122","SR-6971","SR-6215",-0.848899107550786
"123","SR-6977","SR-6215",-0.230576848754433
"124","SR-7255","SR-6215",0.819399595163136
"125","SR-7492","SR-6215",-0.243099506712284
"126","SR-8929","SR-6215",-0.591330977281656
"127","SR-6977","SR-6971",0.465087139733063
"128","SR-7255","SR-6971",-0.72983544755944
"129","SR-7492","SR-6971",0.357891453585586
"130","SR-8929","SR-6971",0.644069950762069
"131","SR-7255","SR-6977",-0.0276408098319812
"132","SR-7492","SR-6977",0.280560937372301
"133","SR-8929","SR-6977",0.19489474733358
"134","SR-7492","SR-7255",-0.398915497525099
"135","SR-8929","SR-7255",-0.649627452940907
"136","SR-8929","SR-7492",0.319946894931692
