"","var1","var2","value"
"119","SR-9907","SR-3801",0.870010556016813
"120","SR-4407","SR-3951",0.283634612952268
"121","SR-4590","SR-3951",-0.603962182564624
"122","SR-6021","SR-3951",-0.527830205528987
"123","SR-6269","SR-3951",0.543690775971209
"124","SR-6773","SR-3951",0.821103899501047
"125","SR-6799","SR-3951",0.786041289538476
"126","SR-7758","SR-3951",0.227886219714295
"127","SR-8607","SR-3951",-0.336138536184784
"128","SR-8621","SR-3951",0.289584860702935
"129","SR-8746","SR-3951",-0.404161986059238
"130","SR-9436","SR-3951",-0.673294527861042
"131","SR-9827","SR-3951",0.790691672953431
"132","SR-9907","SR-3951",-0.425478566279509
"133","SR-4590","SR-4407",-0.192564403156519
"134","SR-6021","SR-4407",-0.0391654963281457
"135","SR-6269","SR-4407",0.118886151198488
"136","SR-6773","SR-4407",0.250948310457433
"137","SR-6799","SR-4407",0.525430234538365
"138","SR-7758","SR-4407",-0.340649568687025
"139","SR-8607","SR-4407",0.399066231162609
"140","SR-8621","SR-4407",0.66825161451644
"141","SR-8746","SR-4407",-0.396608355062369
"142","SR-9436","SR-4407",-0.10734984958957
"143","SR-9827","SR-4407",0.380247502536978
"144","SR-9907","SR-4407",0.299161628019575
"145","SR-6021","SR-4590",0.91604295079408
"146","SR-6269","SR-4590",-0.846171638617153
"147","SR-6773","SR-4590",-0.744645035385294
"148","SR-6799","SR-4590",-0.787780359017194
"149","SR-7758","SR-4590",-0.532696970147145
"150","SR-8607","SR-4590",0.690212973159295
"151","SR-8621","SR-4590",-0.51975157429959
"152","SR-8746","SR-4590",0.84238947652251
"153","SR-9436","SR-4590",0.942413865953544
"154","SR-9827","SR-4590",-0.676420644622669
"155","SR-9907","SR-4590",0.820865131297208
"156","SR-6269","SR-6021",-0.857252584454652
"157","SR-6773","SR-6021",-0.70252642669683
"158","SR-6799","SR-6021",-0.647670107702361
"159","SR-7758","SR-6021",-0.656759374192491
"160","SR-8607","SR-6021",0.769692635714685
"161","SR-8621","SR-6021",-0.385629772947718
"162","SR-8746","SR-6021",0.732967524085547
"163","SR-9436","SR-6021",0.89897698637773
"164","SR-9827","SR-6021",-0.534495202595635
"165","SR-9907","SR-6021",0.875158480845911
"166","SR-6773","SR-6269",0.658859811203877
"167","SR-6799","SR-6269",0.606186477523782
"168","SR-7758","SR-6269",0.677272233648963
"169","SR-8607","SR-6269",-0.612054666846255
"170","SR-8621","SR-6269",0.420888784121751
"171","SR-8746","SR-6269",-0.643134764186548
"172","SR-9436","SR-6269",-0.843313802456745
"173","SR-9827","SR-6269",0.513666387120442
"174","SR-9907","SR-6269",-0.758056635572601
"175","SR-6799","SR-6773",0.806595215058219
"176","SR-7758","SR-6773",0.304426386883665
"177","SR-8607","SR-6773",-0.447449817016614
"178","SR-8621","SR-6773",0.270256549188656
"179","SR-8746","SR-6773",-0.579114527803123
"180","SR-9436","SR-6773",-0.754506712672756
"181","SR-9827","SR-6773",0.730188387975096
"182","SR-9907","SR-6773",-0.566405825472288
"183","SR-7758","SR-6799",0.202948122116241
"184","SR-8607","SR-6799",-0.310494625550167
"185","SR-8621","SR-6799",0.513600572616328
"186","SR-8746","SR-6799",-0.699730629064595
"187","SR-9436","SR-6799",-0.812033662653335
"188","SR-9827","SR-6799",0.851799297946771
"189","SR-9907","SR-6799",-0.460762060806709
"190","SR-8607","SR-7758",-0.673755560320548
"191","SR-8621","SR-7758",0.0603498889764521
"192","SR-8746","SR-7758",-0.194200108821317
"193","SR-9436","SR-7758",-0.641047650598823
"194","SR-9827","SR-7758",0.109413434746846
"195","SR-9907","SR-7758",-0.784973063341134
"196","SR-8621","SR-8607",0.0262092093356302
"197","SR-8746","SR-8607",0.359598570589862
"198","SR-9436","SR-8607",0.7262035560272
"199","SR-9827","SR-8607",-0.207513290397782
"200","SR-9907","SR-8607",0.920913285466939
"201","SR-8746","SR-8621",-0.664845649902143
"202","SR-9436","SR-8621",-0.388574878187457
"203","SR-9827","SR-8621",0.460863680039954
"204","SR-9907","SR-8621",-0.0930979718596002
"205","SR-9436","SR-8746",0.682285648519714
"206","SR-9827","SR-8746",-0.687194274852452
"207","SR-9907","SR-8746",0.52201086587436
"208","SR-9827","SR-9436",-0.667270925302529
"209","SR-9907","SR-9436",0.8580449225806
"210","SR-9907","SR-9827",-0.355823748321857
