"","var1","var2","value"
"121","SR-8929","SR-5849",-0.339071328354982
"122","SR-6971","SR-6215",0.909387393771211
"123","SR-6977","SR-6215",0.264118425686139
"124","SR-7255","SR-6215",0.774506263557279
"125","SR-7492","SR-6215",0.799461789898862
"126","SR-8929","SR-6215",-0.680045494997692
"127","SR-6977","SR-6971",0.463197501225473
"128","SR-7255","SR-6971",0.728035429826805
"129","SR-7492","SR-6971",0.888067835917419
"130","SR-8929","SR-6971",-0.650694076033825
"131","SR-7255","SR-6977",0.0276408098319812
"132","SR-7492","SR-6977",0.518654109081754
"133","SR-8929","SR-6977",-0.19489474733358
"134","SR-7492","SR-7255",0.572591117137121
"135","SR-8929","SR-7255",-0.649627452940907
"136","SR-8929","SR-7492",-0.45590668146798
