Cluster Index	Z	x	y	z	
14	6.25	-9.5	14.5	35.5
14	6.04	-0.5	-3.5	53.5
14	5.68	-9.5	8.5	38.5
14	5.61	-3.5	2.5	41.5
14	5.4	-3.5	-9.5	56.5
14	5.29	-0.5	-12.5	62.5
13	7.19	-39.5	-27.5	56.5
13	6.59	-42.5	-21.5	65.5
13	6.41	-42.5	-18.5	56.5
13	5.98	-30.5	-27.5	53.5
13	5.31	-54.5	-27.5	56.5
13	5	-36.5	-33.5	41.5
12	5.6	20.5	-51.5	-18.5
12	5.34	14.5	-48.5	-21.5
12	5.16	23.5	-57.5	-18.5
12	5	20.5	-51.5	-27.5
12	4.86	14.5	-57.5	-12.5
12	4.58	26.5	-45.5	-27.5
11	5.15	-39.5	-6.5	17.5
11	5.03	-39.5	-0.5	14.5
11	4.96	-39.5	2.5	5.5
11	4.78	-45.5	-3.5	11.5
11	4.71	-54.5	11.5	-0.5
11	4.41	-48.5	5.5	-3.5
10	4.88	-30.5	17.5	11.5
10	4.66	-36.5	14.5	5.5
9	5.11	38.5	14.5	2.5
9	4.17	47.5	14.5	-3.5
9	3.84	41.5	23.5	-0.5
8	5.54	-48.5	-24.5	20.5
8	4.87	-57.5	-21.5	23.5
7	4.23	-9.5	26.5	23.5
7	3.66	2.5	26.5	29.5
6	5.49	-60.5	-21.5	44.5
6	4.97	-54.5	-27.5	44.5
5	4.44	-0.5	-69.5	-3.5
4	4.45	-33.5	-57.5	-27.5
3	5	2.5	-72.5	8.5
3	3.72	-6.5	-69.5	5.5
2	3.82	-18.5	-51.5	2.5
1	4.84	-24.5	-21.5	74.5
1	4.68	-24.5	-27.5	74.5
