Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
13	969	0	166	9.98	5.5	-51.5	20.5	1.66	-62	18.8	88.3	-0.5	-66.5	32.5	34.3
12	714	0	135	8.85	-60.5	-36.5	2.5	-54.2	-38.3	7.8	76.4	-60.5	-36.5	2.5	31
11	592	0	119	8.21	59.5	-36.5	5.5	55.3	-28.2	1.77	72.5	59.5	-36.5	5.5	33.7
10	38	7.52e-18	17.1	10.7	41.5	-51.5	-21.5	40.6	-48.7	-22.3	92.8	41.5	-51.5	-21.5	46.8
9	31	2.16e-15	14.7	8.26	-45.5	-54.5	-24.5	-40.8	-51.8	-21.6	91.6	-45.5	-54.5	-24.5	42.9
8	23	2.42e-12	11.6	5.64	5.5	32.5	-18.5	1.74	37	-18	48.9	5.5	32.5	-18.5	34.4
7	14	1.94e-08	7.71	6.81	17.5	-6.5	-15.5	21.3	-10.8	-14.4	66.3	17.5	-6.5	-15.5	39.3
6	10	1.97e-06	5.71	5.6	-18.5	-39.5	-12.5	-19.4	-39.2	-13.7	56.4	-18.5	-39.5	-12.5	42.2
5	9	6.74e-06	5.17	4.41	5.5	-72.5	-27.5	1.52	-69.7	-25.6	24.2	5.5	-72.5	-27.5	19.8
4	8	2.44e-05	4.61	4.49	-3.5	53.5	-12.5	-2.21	53.2	-12.3	39.9	-0.5	53.5	-12.5	34.9
3	7	9.35e-05	4.03	3.97	-21.5	-60.5	-12.5	-20.2	-57.9	-13	31.1	-21.5	-60.5	-12.5	28.1
2	6	0.000383	3.42	4.5	-18.5	-6.5	-15.5	-20.9	-10.4	-13.1	47.4	-21.5	-15.5	-12.5	40
1	6	0.000383	3.42	4.59	-18.5	-45.5	17.5	-20.4	-46.4	17	30.9	-21.5	-45.5	17.5	23.9
