Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
14	123	7.41e-41	40.1	6.25	-9.5	14.5	35.5	-2.05	2.31	47.3	19.4	-9.5	14.5	35.5	11.1
13	120	3.64e-40	39.4	7.19	-39.5	-27.5	56.5	-38.5	-25.4	56.5	23.3	-42.5	-21.5	56.5	10.5
12	53	1.17e-22	21.9	5.6	20.5	-51.5	-18.5	19.6	-51.4	-20.8	15.7	20.5	-51.5	-18.5	11.6
11	33	4.12e-16	15.4	5.15	-39.5	-6.5	17.5	-44.3	1.18	7.26	18.3	-54.5	11.5	-0.5	13.2
10	18	2.97e-10	9.53	4.88	-30.5	17.5	11.5	-34	16.1	7.86	15.5	-30.5	17.5	11.5	12
9	18	2.97e-10	9.53	5.11	38.5	14.5	2.5	41.3	17.4	0.436	18.1	50.5	17.5	-6.5	13.1
8	15	6.61e-09	8.18	5.54	-48.5	-24.5	20.5	-50.7	-23.3	20.3	16.3	-57.5	-21.5	20.5	12.8
7	15	6.61e-09	8.18	4.23	-9.5	26.5	23.5	-5.47	27.3	26.1	11.7	-0.5	26.5	26.5	10.4
6	13	5.96e-08	7.22	5.49	-60.5	-21.5	44.5	-57.9	-23.8	45.3	12.4	-60.5	-21.5	44.5	9.17
5	11	5.96e-07	6.22	4.44	-0.5	-69.5	-3.5	0.905	-68.1	-6.25	15.4	-0.5	-69.5	-3.5	11.8
4	10	1.97e-06	5.71	4.45	-33.5	-57.5	-27.5	-33.8	-58.1	-28.4	11.1	-33.5	-57.5	-27.5	9.85
3	10	1.97e-06	5.71	5	2.5	-72.5	8.5	-0.126	-71.3	8.61	19.2	-0.5	-69.5	11.5	12.5
2	7	9.35e-05	4.03	3.82	-18.5	-51.5	2.5	-18.5	-51.5	0.0104	14.4	-18.5	-51.5	-0.5	12
1	6	0.000383	3.42	4.84	-24.5	-21.5	74.5	-23.6	-25.9	73.2	11.3	-24.5	-27.5	74.5	8.45
