Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
14	28	2.77e-14	13.6	5.04	-0.5	17.5	44.5	-1.27	23.9	39.7	5.06	2.5	26.5	35.5	3.06
13	12	1.79e-07	6.75	4.63	-6.5	-45.5	38.5	-4.96	-48.2	38.2	4.05	-3.5	-48.5	38.5	3.25
12	12	1.79e-07	6.75	4.59	-48.5	20.5	-6.5	-41.8	20.1	-1.16	7.96	-48.5	20.5	-6.5	4.2
11	11	5.96e-07	6.22	3.83	-6.5	-60.5	29.5	0.799	-60.8	31.6	5.29	-0.5	-66.5	29.5	3.34
10	10	1.97e-06	5.71	4.23	2.5	-75.5	8.5	1.29	-75.7	10	92.5	5.5	-78.5	8.5	20.7
9	8	2.44e-05	4.61	4.61	-0.5	14.5	32.5	-0.5	7.91	33.2	5.81	-0.5	14.5	32.5	4.49
8	8	2.44e-05	4.61	4.78	-33.5	17.5	-9.5	-39.7	18.6	-12.2	4.79	-45.5	17.5	-12.5	3.94
7	8	2.44e-05	4.61	4.57	53.5	8.5	-21.5	52.3	7.35	-21.6	5.06	50.5	2.5	-21.5	4.27
6	7	9.35e-05	4.03	4.46	-3.5	56.5	41.5	-6.92	53.6	42.4	6.86	-9.5	53.5	44.5	4.69
5	7	9.35e-05	4.03	4.68	2.5	-33.5	26.5	2.5	-29.1	26.8	4.83	2.5	-27.5	26.5	3.77
4	6	0.000383	3.42	4.41	65.5	-51.5	8.5	62.6	-56.9	11.9	3.38	59.5	-57.5	14.5	2.37
3	6	0.000383	3.42	4.57	-9.5	2.5	38.5	-7.15	3.03	40	3.92	-9.5	5.5	38.5	2.76
2	6	0.000383	3.42	4.58	14.5	2.5	17.5	11.1	1.02	12.6	4.29	8.5	2.5	8.5	3.32
1	6	0.000383	3.42	4.64	-3.5	17.5	65.5	-4.06	16.5	62.6	3.5	-3.5	20.5	65.5	2.65
