Cluster Index	Z	x	y	z	
45	8.05	-24.5	-69.5	59.5
45	7.48	-21.5	-66.5	50.5
45	7.21	-48.5	-45.5	50.5
45	7.15	-48.5	-30.5	38.5
45	6.91	-63.5	-30.5	41.5
45	6.86	-27.5	-69.5	26.5
44	8.2	44.5	-39.5	59.5
44	6.86	26.5	-69.5	44.5
44	6.73	41.5	-51.5	59.5
44	6.67	29.5	-78.5	41.5
44	6.61	29.5	-75.5	35.5
44	6.59	38.5	-48.5	50.5
43	6.77	-39.5	41.5	35.5
43	6.05	-39.5	56.5	14.5
43	5.97	-48.5	41.5	17.5
43	5.95	-39.5	38.5	11.5
43	5.93	-39.5	29.5	20.5
43	5.87	-42.5	47.5	26.5
42	7.23	47.5	47.5	14.5
42	6.97	41.5	53.5	17.5
42	6.6	50.5	44.5	2.5
42	6.59	26.5	56.5	32.5
42	5.99	41.5	41.5	32.5
42	5.61	32.5	50.5	35.5
41	5.68	-0.5	-6.5	68.5
41	5.55	2.5	8.5	53.5
41	5.54	-0.5	8.5	59.5
41	5.29	-9.5	-3.5	65.5
41	5.19	-0.5	23.5	50.5
41	5.15	-0.5	5.5	44.5
40	8.48	-48.5	-69.5	-15.5
40	7.71	-48.5	-66.5	-0.5
40	7.59	-51.5	-66.5	-6.5
40	7.17	-48.5	-60.5	-3.5
40	6.95	-39.5	-60.5	-3.5
40	6.77	-45.5	-54.5	-6.5
39	6.23	50.5	17.5	-3.5
39	5.59	53.5	14.5	17.5
39	5.56	50.5	5.5	35.5
39	5.49	56.5	14.5	-0.5
39	5.06	56.5	14.5	35.5
39	5.05	59.5	11.5	8.5
38	6.75	-51.5	5.5	35.5
38	6.09	-51.5	8.5	23.5
38	5.5	-51.5	8.5	44.5
38	5.49	-45.5	2.5	32.5
38	5.11	-54.5	8.5	17.5
38	4.7	-54.5	14.5	29.5
37	8.24	47.5	-57.5	-9.5
37	7.8	50.5	-63.5	-12.5
37	5.86	41.5	-60.5	-6.5
37	5.39	50.5	-51.5	-15.5
37	5.15	56.5	-54.5	-15.5
37	4.02	38.5	-66.5	-3.5
36	6.63	-27.5	-63.5	-12.5
36	5.6	-27.5	-45.5	-18.5
36	5.49	-21.5	-75.5	-15.5
36	4.88	-30.5	-75.5	-18.5
36	4.45	-24.5	-72.5	-6.5
36	3.97	-30.5	-60.5	-6.5
35	6.46	32.5	-90.5	17.5
35	5.98	35.5	-84.5	8.5
35	5.72	29.5	-90.5	26.5
35	5.29	32.5	-81.5	14.5
35	5	35.5	-72.5	20.5
35	4.32	29.5	-84.5	23.5
34	7.17	-21.5	-27.5	-6.5
34	4.8	-3.5	-27.5	2.5
34	4.39	-24.5	-36.5	2.5
34	3.82	-3.5	-36.5	2.5
34	3.7	-0.5	-33.5	-3.5
33	7.6	2.5	-84.5	-9.5
33	5.88	8.5	-81.5	-9.5
33	5.64	2.5	-78.5	2.5
33	4.6	-6.5	-78.5	-6.5
33	3.99	-3.5	-96.5	-6.5
32	6.52	-30.5	-84.5	14.5
32	6.41	-24.5	-84.5	8.5
32	5.58	-27.5	-81.5	20.5
32	5.27	-24.5	-93.5	17.5
32	5.25	-24.5	-90.5	23.5
32	4.96	-21.5	-81.5	17.5
31	4.86	-45.5	20.5	-3.5
31	4.67	-48.5	8.5	-3.5
31	4.66	-39.5	2.5	2.5
31	3.99	-39.5	17.5	2.5
30	5.87	-57.5	-51.5	-15.5
30	4.94	-51.5	-42.5	-15.5
30	4.76	-60.5	-48.5	-6.5
30	4.52	-57.5	-54.5	-9.5
30	4.39	-54.5	-42.5	-9.5
30	3.7	-57.5	-36.5	-9.5
29	5.67	26.5	-45.5	-15.5
29	5.38	23.5	-66.5	-12.5
29	5.28	29.5	-51.5	-15.5
29	4.66	29.5	-57.5	-9.5
29	4.57	29.5	-42.5	-21.5
28	10.1	-18.5	-99.5	-15.5
28	7.82	-27.5	-93.5	-6.5
28	6.61	-24.5	-87.5	-18.5
28	6.52	-24.5	-87.5	-9.5
28	3.65	-24.5	-93.5	-12.5
27	6.86	23.5	-30.5	-0.5
27	6.27	23.5	-24.5	-3.5
27	3.54	14.5	-30.5	-3.5
26	5.55	-0.5	32.5	38.5
26	5.11	-3.5	29.5	29.5
25	4.49	56.5	-15.5	26.5
