Cluster Index	Z	x	y	z	
25	4.13	56.5	-21.5	26.5
25	4.01	59.5	-27.5	26.5
25	3.75	65.5	-33.5	32.5
24	4.5	-12.5	23.5	8.5
24	4.36	-3.5	11.5	11.5
24	4.2	-6.5	17.5	11.5
24	4.03	-6.5	26.5	5.5
24	3.96	2.5	11.5	11.5
23	4.99	-39.5	38.5	-15.5
23	4.66	-33.5	38.5	-9.5
23	4.14	-33.5	50.5	-12.5
22	7.41	32.5	-78.5	2.5
22	5.46	38.5	-75.5	5.5
22	3.78	23.5	-87.5	-3.5
21	5.24	-12.5	-21.5	41.5
21	3.95	-15.5	-33.5	41.5
20	5.15	23.5	-12.5	65.5
20	5.1	29.5	-6.5	59.5
20	3.87	20.5	-15.5	74.5
19	5.29	-27.5	2.5	68.5
19	4.68	-27.5	-0.5	59.5
19	4.11	-30.5	-6.5	59.5
19	3.75	-24.5	5.5	59.5
18	5.68	-30.5	47.5	38.5
18	4.09	-27.5	56.5	32.5
18	4.01	-30.5	56.5	26.5
17	5.36	11.5	-18.5	38.5
16	4.82	-48.5	-33.5	29.5
16	4.36	-42.5	-36.5	23.5
16	3.77	-39.5	-30.5	20.5
15	5.73	-27.5	26.5	-15.5
15	4.02	-24.5	35.5	-15.5
14	5.54	-48.5	-6.5	50.5
14	4.61	-45.5	-12.5	50.5
13	7.64	-12.5	-87.5	-6.5
12	4.59	-3.5	65.5	23.5
12	4.29	-3.5	59.5	17.5
11	5.69	-24.5	-36.5	68.5
11	3.96	-33.5	-39.5	71.5
10	4.8	2.5	-36.5	-9.5
10	4.01	-3.5	-36.5	-9.5
9	4.86	20.5	-24.5	59.5
9	3.92	14.5	-27.5	68.5
9	3.31	8.5	-27.5	68.5
8	5.05	-18.5	-27.5	20.5
7	5.53	-0.5	-24.5	14.5
6	4.09	-60.5	-42.5	26.5
6	4.08	-57.5	-33.5	29.5
5	3.96	-18.5	-36.5	14.5
5	3.58	-24.5	-33.5	11.5
4	5.03	26.5	-6.5	47.5
3	5.07	-30.5	-36.5	53.5
3	4.54	-30.5	-39.5	59.5
2	5.12	-42.5	56.5	-3.5
2	4.13	-33.5	59.5	8.5
2	3.74	-36.5	62.5	2.5
1	5.71	-3.5	20.5	68.5
1	4.83	-12.5	20.5	65.5
