Cluster Index	Z	x	y	z	
19	9.23	5.5	-51.5	20.5
19	8.84	-0.5	-66.5	32.5
19	7.83	-6.5	-51.5	20.5
19	7.59	-0.5	-54.5	26.5
19	7.4	8.5	-75.5	8.5
19	7.36	8.5	-54.5	26.5
18	7.68	-60.5	-36.5	2.5
18	7.59	-66.5	-27.5	2.5
18	6.27	-63.5	-0.5	-6.5
18	6.05	-57.5	-9.5	-9.5
18	5.81	-45.5	14.5	-30.5
18	5.77	-57.5	-15.5	-9.5
17	6.75	62.5	-30.5	-0.5
17	6.44	47.5	-36.5	2.5
17	6.41	56.5	8.5	-15.5
17	6.21	59.5	-6.5	-9.5
17	5.92	53.5	11.5	-24.5
17	5.71	56.5	-36.5	5.5
16	7.66	-51.5	-72.5	35.5
16	6.47	-57.5	-66.5	26.5
16	6.4	-48.5	-60.5	26.5
16	5.83	-57.5	-57.5	17.5
16	5.57	-42.5	-54.5	17.5
16	5.54	-42.5	-54.5	23.5
15	7.38	41.5	-51.5	-21.5
15	6.33	38.5	-57.5	-18.5
14	6.16	53.5	-69.5	20.5
14	4.75	59.5	-60.5	20.5
14	4.59	50.5	-57.5	20.5
14	4.5	50.5	-66.5	14.5
14	4.26	56.5	-63.5	26.5
13	6.48	-39.5	-45.5	-24.5
13	6.3	-45.5	-54.5	-24.5
13	5.23	-42.5	-60.5	-21.5
13	5.17	-36.5	-54.5	-18.5
13	4.73	-30.5	-57.5	-21.5
12	5.44	-66.5	-21.5	8.5
12	5.26	-60.5	-18.5	8.5
12	5.15	-63.5	-12.5	5.5
12	4.61	-66.5	-9.5	-0.5
12	4.04	-54.5	-24.5	8.5
11	5.22	-3.5	50.5	-9.5
11	5.12	5.5	41.5	-18.5
11	4.52	5.5	56.5	-15.5
11	4.21	-3.5	56.5	-9.5
11	3.96	-3.5	56.5	-15.5
10	6.3	50.5	-78.5	2.5
10	5.23	53.5	-72.5	8.5
10	4.95	50.5	-78.5	8.5
9	4.36	-21.5	-48.5	14.5
8	5.72	23.5	-15.5	-12.5
7	4.84	-21.5	-15.5	-12.5
7	4.81	-27.5	-18.5	-12.5
6	5	-18.5	-6.5	-15.5
5	4.75	23.5	-36.5	-12.5
5	4.38	26.5	-48.5	-6.5
5	4.22	23.5	-42.5	-9.5
4	4.48	-24.5	-12.5	65.5
4	4.2	-30.5	-12.5	65.5
4	3.74	-27.5	-18.5	59.5
3	4.87	-24.5	-45.5	-6.5
2	4.17	17.5	-39.5	20.5
2	3.56	11.5	-33.5	17.5
1	4.89	2.5	35.5	-15.5
1	3.92	2.5	29.5	-18.5
