Func,Video,CertRate,CertStat,Keys,Text,RespTime,Onset,Offset,SystemTime_Start,SystemTime_Stop,FrameTimestamps,Participant*,date,expName,psychopyVersion,frameRate,
triggerFunc,NA,NA,NA,equal,The video will begin momentarily....,109.38505919999443,13.887801999924704,123.3268822801765,2023-04-12 10:52:14.866867,2023-04-12 10:54:04.306150,NA,SR-7758,2023_Apr_12_1052,certainty_neuro,2021.2.3,60.009133403762334,
isiFunc,NA,NA,NA,NA,+,NA,123.29907349997666,153.3076712200418,2023-04-12 10:54:04.306150,2023-04-12 10:54:34.303551,NA,SR-7758,2023_Apr_12_1052,certainty_neuro,2021.2.3,60.009133403762334,
playingFunc,StimVidRadCheck24s_PinkNoise.mp4,NA,NA,NA,NA,NA,153.83275456035042,177.99393222080542,2023-04-12 10:54:34.838000,2023-04-12 10:54:58.987617,['Frame: 1| Time: 2023-04-12 10:54:34.843896'],SR-7758,2023_Apr_12_1052,certainty_neuro,2021.2.3,60.009133403762334,
