Func,Video,CertRate,CertStat,Keys,Text,RespTime,Onset,Offset,SystemTime_Start,SystemTime_Stop,FrameTimestamps,Participant*,date,expName,psychopyVersion,frameRate,
instrFunc,NA,NA,NA,0,"Before the task begins, we will run a very quick scan. You will see a fixation cross appear on the screen. Please just relax while this scan runs.",13.878532400005497,21.56873339996673,35.49964048014954,2022-04-12 09:58:37.379887,2022-04-12 09:58:51.306594,NA,SR-0035,2022_Apr_12_0958,certainty_neuro,2021.2.3,60.00693679882836,
instrFunc,NA,NA,NA,0,+,547.4638952000532,35.46367109997664,582.9566347399959,2022-04-12 09:58:51.306594,2022-04-12 10:07:58.788040,NA,SR-0035,2022_Apr_12_0958,certainty_neuro,2021.2.3,60.00693679882836,
instrFunc,NA,NA,NA,1,"To start this study, you will be watching an episode of television and making continous assessments about one of the characters.


Press the thumb button when ready to continue.",4.121030899928883,582.9476582999341,587.108705039951,2022-04-12 10:07:58.788040,2022-04-12 10:08:02.938073,NA,SR-0035,2022_Apr_12_0958,certainty_neuro,2021.2.3,60.00693679882836,
instrFunc,NA,NA,NA,1,"You will first be presented with background information for the show, which is a murder mystery in which one character has been accused of murdering another.

You will be given information about the accused, the victim, and the surrounding context.


Press the thumb button when ready to continue.",10.300737900077365,587.0989895999664,597.4425512399757,2022-04-12 10:08:02.938073,2022-04-12 10:08:13.270678,NA,SR-0035,2022_Apr_12_0958,certainty_neuro,2021.2.3,60.00693679882836,
instrFunc,NA,NA,NA,1,"You will be judging how certain you are that the accused person is either innocent or guilty.


Press the thumb button when ready to continue.",3.801873499993235,597.4297197998967,601.2749116399791,2022-04-12 10:08:13.270678,2022-04-12 10:08:17.104960,NA,SR-0035,2022_Apr_12_0958,certainty_neuro,2021.2.3,60.00693679882836,
instrFunc,NA,NA,NA,1,"You will use the provided button pad to indicate your certainty of the accused's innocence or guilt.


Press the thumb button when ready to continue.",4.817182099912316,601.2625747999409,606.1066406399477,2022-04-12 10:08:17.104960,2022-04-12 10:08:21.938365,NA,SR-0035,2022_Apr_12_0958,certainty_neuro,2021.2.3,60.00693679882836,
instrFunc,NA,NA,NA,1,"Pressing the index finger button will correspond to greater certainty that the accused is guilty.

Pressing the middle finger button will correspond to greater certainty that the accused is innocent.


Press the thumb button when ready to continue.",9.500862299930304,606.0967181999004,615.6393295398448,2022-04-12 10:08:21.938365,2022-04-12 10:08:31.470374,NA,SR-0035,2022_Apr_12_0958,certainty_neuro,2021.2.3,60.00693679882836,
instrFunc,NA,NA,NA,1,"Before we begin, we will take a moment to let you practice using the buttons to indicate your ratings.


Press the thumb button when ready to continue.",3.6886607999913394,615.629945899942,619.358489939943,2022-04-12 10:08:31.470374,2022-04-12 10:08:35.187612,NA,SR-0035,2022_Apr_12_0958,certainty_neuro,2021.2.3,60.00693679882836,
isiFunc,NA,NA,NA,NA,+,NA,619.3468449999345,621.3566744399723,2022-04-12 10:08:35.187612,2022-04-12 10:08:37.185881,NA,SR-0035,2022_Apr_12_0958,certainty_neuro,2021.2.3,60.00693679882836,
