Cluster Index	Z	x	y	z	
48	11.4	44.5	-39.5	59.5
48	9.9	29.5	-75.5	35.5
48	9.09	38.5	-48.5	50.5
48	8.77	26.5	-69.5	44.5
48	8.67	50.5	-33.5	59.5
48	8.64	32.5	-78.5	2.5
47	8.73	50.5	17.5	-3.5
47	8.47	41.5	53.5	17.5
47	8.42	50.5	5.5	35.5
47	7.74	41.5	41.5	32.5
47	7.62	41.5	50.5	26.5
47	7.55	56.5	14.5	2.5
46	10.9	-36.5	-90.5	2.5
46	9.77	-27.5	-84.5	32.5
46	8.93	-36.5	-60.5	59.5
46	8.84	-27.5	-78.5	38.5
46	8.8	-24.5	-72.5	53.5
46	8.72	-24.5	-78.5	29.5
45	8.71	-51.5	5.5	38.5
45	8.58	-39.5	47.5	26.5
45	8.02	-45.5	44.5	17.5
45	7.41	-39.5	56.5	14.5
45	7.38	-39.5	41.5	35.5
45	7.17	-45.5	44.5	8.5
44	6.75	2.5	2.5	74.5
44	6.75	11.5	-0.5	74.5
44	6.63	-0.5	23.5	50.5
44	6.52	-0.5	-6.5	68.5
44	6.51	26.5	-6.5	47.5
44	6.41	-0.5	5.5	44.5
43	10.1	-48.5	-60.5	-3.5
43	9.69	-51.5	-66.5	-6.5
43	9.09	-48.5	-66.5	-0.5
43	9.07	-48.5	-69.5	-15.5
43	8.47	-45.5	-69.5	5.5
43	8.26	-39.5	-69.5	-0.5
42	10.3	47.5	-57.5	-12.5
42	9.81	44.5	-54.5	-6.5
42	9.03	53.5	-60.5	-12.5
42	6.38	59.5	-51.5	-0.5
42	6.32	53.5	-51.5	-0.5
42	6.14	47.5	-45.5	-15.5
41	12.1	-15.5	-96.5	-12.5
41	10.6	-27.5	-93.5	-6.5
41	8.53	-24.5	-87.5	-18.5
41	8.4	-12.5	-87.5	-6.5
41	7.94	-27.5	-66.5	-9.5
41	7.83	-30.5	-60.5	-15.5
40	5.93	-6.5	-33.5	44.5
40	5.83	11.5	-21.5	41.5
40	5.74	-12.5	-21.5	41.5
40	5.56	2.5	-30.5	50.5
40	5.46	-15.5	-33.5	41.5
40	5.1	-12.5	-42.5	53.5
39	6.73	-39.5	38.5	-15.5
39	6.04	-27.5	26.5	-15.5
39	5.87	-33.5	50.5	-12.5
39	5.65	-24.5	41.5	-15.5
39	5.6	-33.5	38.5	-9.5
39	5.03	-36.5	56.5	-12.5
38	6.79	23.5	-45.5	-15.5
38	6.3	26.5	-54.5	-12.5
38	6.14	26.5	-60.5	-9.5
38	5.9	29.5	-42.5	-18.5
38	4.88	26.5	-72.5	-12.5
38	4.25	20.5	-69.5	-3.5
37	7.51	23.5	-27.5	-3.5
37	5.91	11.5	-27.5	17.5
37	5.47	8.5	-18.5	8.5
37	5.16	14.5	-30.5	-3.5
37	4.89	17.5	-24.5	11.5
37	4.56	11.5	-24.5	8.5
36	5.41	20.5	26.5	-15.5
36	4.86	20.5	35.5	-15.5
36	4.76	32.5	38.5	-9.5
36	4.52	23.5	41.5	-15.5
36	3.86	26.5	50.5	-9.5
36	3.78	38.5	44.5	-12.5
35	7.99	38.5	-12.5	44.5
35	5.88	47.5	-9.5	47.5
35	5.19	47.5	-3.5	53.5
35	4.85	44.5	-6.5	59.5
35	4.01	35.5	-15.5	50.5
34	5.29	-0.5	41.5	11.5
34	4.68	-0.5	41.5	17.5
34	4.31	-0.5	50.5	11.5
34	4.22	-3.5	59.5	17.5
34	4.21	-3.5	65.5	17.5
34	3.93	2.5	35.5	17.5
33	8.31	-21.5	-30.5	-3.5
33	6.78	-15.5	-30.5	-3.5
33	3.84	-12.5	-30.5	-9.5
32	6.63	-24.5	-36.5	68.5
32	6.05	-21.5	-33.5	74.5
32	6.03	-33.5	-39.5	62.5
32	5.63	-30.5	-36.5	53.5
31	9.67	2.5	-78.5	2.5
31	8.92	2.5	-84.5	-9.5
31	6.37	8.5	-81.5	-9.5
31	4.16	-6.5	-81.5	-3.5
31	4.15	2.5	-81.5	-3.5
30	5.21	-42.5	-3.5	-12.5
29	6.32	-45.5	-12.5	56.5
29	6.15	-45.5	-15.5	44.5
29	5.88	-48.5	-6.5	50.5
29	5.2	-36.5	-15.5	41.5
28	5.03	-27.5	-0.5	59.5
28	4.93	-27.5	5.5	62.5
28	4.59	-21.5	5.5	53.5
28	4.54	-30.5	-6.5	59.5
28	4.31	-30.5	-0.5	68.5
28	3.63	-36.5	-3.5	59.5
27	5.79	23.5	-24.5	65.5
27	5.11	38.5	-21.5	59.5
27	4.73	29.5	-24.5	56.5
27	4.72	29.5	-24.5	65.5
27	4.6	35.5	-24.5	65.5
26	4.99	-6.5	-36.5	-9.5
26	4.66	5.5	-36.5	-9.5
25	5.5	-42.5	-36.5	23.5
25	4.52	-48.5	-33.5	26.5
25	4.47	-48.5	-39.5	29.5
24	4.67	2.5	17.5	8.5
24	3.98	-3.5	5.5	14.5
24	3.94	-3.5	11.5	11.5
23	5.54	-18.5	-27.5	20.5
22	5.32	-9.5	20.5	8.5
22	4.78	-15.5	26.5	2.5
21	5.08	-0.5	11.5	26.5
21	4.45	-6.5	14.5	23.5
20	5.17	20.5	-24.5	59.5
20	4.9	14.5	-27.5	68.5
19	4.38	-6.5	44.5	2.5
19	4.1	2.5	41.5	-0.5
19	3.79	-6.5	44.5	-3.5
18	5.7	-0.5	-45.5	2.5
18	3.71	-0.5	-39.5	-0.5
17	4.67	-30.5	-12.5	5.5
16	4.69	2.5	2.5	11.5
16	4.28	8.5	-3.5	20.5
15	5.27	-18.5	-24.5	74.5
15	5.06	-18.5	-27.5	68.5
14	7.13	14.5	68.5	17.5
13	4.88	-15.5	47.5	47.5
13	4.35	-21.5	44.5	44.5
13	3.88	-12.5	38.5	56.5
13	3.65	-15.5	32.5	59.5
12	7.25	-27.5	-84.5	2.5
12	6.89	-24.5	-84.5	8.5
11	4.81	20.5	5.5	-15.5
11	4.03	23.5	11.5	-15.5
11	3.84	14.5	2.5	-12.5
10	3.87	23.5	11.5	2.5
9	5.04	-3.5	17.5	-6.5
8	4.37	-9.5	8.5	38.5
8	4.34	-9.5	14.5	32.5
8	3.63	-9.5	20.5	32.5
7	5.29	-0.5	-24.5	14.5
6	4.41	-21.5	14.5	68.5
5	4.22	32.5	50.5	11.5
5	3.9	26.5	53.5	14.5
4	4.77	2.5	50.5	47.5
3	4.44	-0.5	56.5	2.5
3	4.28	-0.5	47.5	2.5
3	3.91	-0.5	50.5	-3.5
2	4.04	-42.5	-63.5	-27.5
1	4.21	-27.5	-63.5	-30.5
