Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
48	861	0	153	11.4	44.5	-39.5	59.5	40.6	-50	41.2	139	47.5	-36.5	59.5	27.9
47	720	0	135	8.73	50.5	17.5	-3.5	43.6	28.2	13.9	98.9	47.5	17.5	-6.5	34.2
46	588	0	118	10.9	-36.5	-90.5	2.5	-39.5	-56.4	42.4	72.4	-36.5	-60.5	59.5	27.2
45	556	0	114	8.71	-51.5	5.5	38.5	-44.9	29.6	16.8	102	-48.5	17.5	-6.5	32.8
44	310	0	76.2	6.75	2.5	2.5	74.5	8.49	9.32	56.6	70.8	2.5	2.5	74.5	26.1
43	203	0	56.9	10.1	-48.5	-60.5	-3.5	-48.5	-61	-6.11	69.4	-48.5	-63.5	-3.5	30.3
42	162	0	48.7	10.3	47.5	-57.5	-12.5	50.6	-55.2	-8	66.3	47.5	-57.5	-12.5	30.8
41	126	1.53e-41	40.8	12.1	-15.5	-96.5	-12.5	-25.3	-72.7	-11.7	117	-21.5	-90.5	-18.5	41.9
40	124	4.37e-41	40.4	5.93	-6.5	-33.5	44.5	-0.59	-32.4	46.3	37.9	-15.5	-33.5	41.5	24.1
39	83	4.39e-31	30.4	6.73	-39.5	38.5	-15.5	-30.5	37	-14.1	61.1	-39.5	38.5	-15.5	36.9
38	63	1.31e-25	24.9	6.79	23.5	-45.5	-15.5	27.2	-55.5	-12.6	55	23.5	-45.5	-15.5	30.8
37	54	5.82e-23	22.2	7.51	23.5	-27.5	-3.5	18.8	-27.2	3.96	52.4	14.5	-30.5	-3.5	30.3
36	41	7.41e-19	18.1	5.41	20.5	26.5	-15.5	26.8	38.5	-13.2	45.1	20.5	26.5	-15.5	30.3
35	39	3.45e-18	17.5	7.99	38.5	-12.5	44.5	42.4	-10.5	47.3	46	38.5	-12.5	44.5	23
34	37	1.65e-17	16.8	5.29	-0.5	41.5	11.5	-0.0962	47	16.2	42.3	-3.5	65.5	17.5	30.5
33	34	1.82e-16	15.7	8.31	-21.5	-30.5	-3.5	-20.1	-29.5	-3.83	66.5	-21.5	-27.5	-6.5	38.3
32	30	5.01e-15	14.3	6.63	-24.5	-36.5	68.5	-28.7	-37.5	63.7	29.6	-24.5	-36.5	68.5	19.6
31	27	6.63e-14	13.2	9.67	2.5	-78.5	2.5	1.21	-81.7	-6.02	211	-0.5	-81.5	-3.5	115
30	24	9.68e-13	12	5.21	-42.5	-3.5	-12.5	-40.5	-8.03	-8.15	55.2	-42.5	-3.5	-12.5	33.1
29	24	9.68e-13	12	6.32	-45.5	-12.5	56.5	-44.4	-13.2	48.7	33.6	-45.5	-12.5	56.5	23.5
28	23	2.42e-12	11.6	5.03	-27.5	-0.5	59.5	-28.5	0.821	60.2	33.7	-30.5	-0.5	68.5	22.2
27	19	1.1e-10	9.96	5.79	23.5	-24.5	65.5	33.4	-22.8	60.5	26	23.5	-24.5	65.5	18.3
26	16	2.3e-09	8.64	4.99	-6.5	-36.5	-9.5	0.486	-36.5	-10.2	56.6	8.5	-36.5	-9.5	37.1
25	14	1.94e-08	7.71	5.5	-42.5	-36.5	23.5	-45.3	-35.3	25.9	31.3	-42.5	-36.5	23.5	21.8
24	13	5.96e-08	7.22	4.67	2.5	17.5	8.5	-0.0815	11.1	9.69	43.5	2.5	11.5	5.5	37.9
23	13	5.96e-08	7.22	5.54	-18.5	-27.5	20.5	-16.5	-26.7	19.1	40.4	-18.5	-27.5	20.5	30.3
22	12	1.79e-07	6.75	5.32	-9.5	20.5	8.5	-9.22	21.7	7.61	37.9	-9.5	20.5	8.5	31.2
21	12	1.79e-07	6.75	5.08	-0.5	11.5	26.5	-1.7	12.8	26.4	42.5	-0.5	11.5	26.5	27.3
20	10	1.97e-06	5.71	5.17	20.5	-24.5	59.5	15.9	-27.7	64	23.4	17.5	-27.5	62.5	18.3
19	10	1.97e-06	5.71	4.38	-6.5	44.5	2.5	-4.6	42.5	1.02	34.1	2.5	41.5	-0.5	28.5
18	9	6.74e-06	5.17	5.7	-0.5	-45.5	2.5	-0.742	-45	2.36	63.3	-0.5	-45.5	2.5	39.6
17	9	6.74e-06	5.17	4.67	-30.5	-12.5	5.5	-29.9	-10.6	5.83	30.8	-30.5	-12.5	5.5	23.4
16	9	6.74e-06	5.17	4.69	2.5	2.5	11.5	5.45	-0.901	16.5	57.5	5.5	2.5	11.5	38.5
15	9	6.74e-06	5.17	5.27	-18.5	-24.5	74.5	-17.1	-27.7	72.3	22.3	-18.5	-27.5	68.5	18.5
14	8	2.44e-05	4.61	7.13	14.5	68.5	17.5	17.7	68.5	12.5	64.1	14.5	68.5	17.5	42.3
13	8	2.44e-05	4.61	4.88	-15.5	47.5	47.5	-16	41.9	51.6	34.1	-15.5	47.5	47.5	26.8
12	7	9.35e-05	4.03	7.25	-27.5	-84.5	2.5	-23.5	-86.2	6.29	32.9	-27.5	-84.5	2.5	20.8
11	7	9.35e-05	4.03	4.81	20.5	5.5	-15.5	20.1	7.19	-16.7	51.4	20.5	5.5	-15.5	39.1
10	7	9.35e-05	4.03	3.87	23.5	11.5	2.5	22.2	9.82	3.37	25.3	23.5	11.5	2.5	23.1
9	6	0.000383	3.42	5.04	-3.5	17.5	-6.5	-2.08	16.5	-5.62	49.7	-3.5	17.5	-6.5	38.5
