Cluster Index	Z	x	y	z	
16	7.23	-0.5	-66.5	32.5
16	6.98	5.5	-51.5	20.5
16	6.31	8.5	-51.5	26.5
16	6.29	-9.5	-54.5	29.5
16	5.8	-12.5	-54.5	38.5
16	5.67	2.5	-60.5	38.5
15	5.71	-51.5	-72.5	35.5
15	5.25	-39.5	-54.5	23.5
15	4.99	-45.5	-75.5	41.5
15	4.87	-48.5	-63.5	26.5
15	4.77	-42.5	-54.5	17.5
15	4.58	-51.5	-69.5	26.5
14	5.5	62.5	-0.5	-12.5
14	5.47	62.5	-6.5	-9.5
14	5.33	56.5	11.5	-18.5
14	5.01	53.5	-15.5	-3.5
14	4.64	56.5	-0.5	-18.5
14	4.24	50.5	-9.5	-15.5
13	6.17	-0.5	50.5	-12.5
13	5.95	5.5	38.5	-15.5
13	5.72	2.5	59.5	-15.5
13	5.1	-0.5	44.5	-12.5
13	5	-12.5	56.5	-9.5
13	4.15	-3.5	59.5	-9.5
12	6.22	53.5	-69.5	20.5
12	5.7	59.5	-57.5	23.5
12	5.27	50.5	-57.5	17.5
12	4.98	62.5	-60.5	14.5
12	4.61	44.5	-63.5	29.5
12	4.58	50.5	-72.5	35.5
11	6.37	-60.5	-9.5	-6.5
11	5.45	-57.5	-0.5	-15.5
11	4.59	-51.5	-9.5	-12.5
11	4.08	-66.5	-6.5	-18.5
11	3.64	-60.5	-18.5	-6.5
11	3.57	-66.5	-9.5	-0.5
10	5.25	47.5	-39.5	2.5
10	5.2	56.5	-36.5	8.5
10	4.88	50.5	-42.5	14.5
10	3.87	62.5	-21.5	-0.5
10	3.83	65.5	-33.5	2.5
10	3.83	62.5	-42.5	11.5
9	5.77	-66.5	-27.5	2.5
9	4.83	-66.5	-39.5	8.5
9	4.56	-63.5	-24.5	-3.5
9	3.94	-57.5	-39.5	2.5
9	3.82	-60.5	-27.5	2.5
9	3.76	-54.5	-33.5	5.5
8	5.13	-51.5	11.5	-24.5
8	4.35	-57.5	8.5	-21.5
7	4.77	-15.5	-51.5	2.5
7	4.28	-12.5	-45.5	-3.5
6	4.54	5.5	-15.5	59.5
5	4.17	-15.5	-57.5	17.5
5	3.82	-9.5	-60.5	17.5
5	3.74	-21.5	-63.5	20.5
4	5.24	23.5	-42.5	-9.5
3	4.57	-54.5	-54.5	20.5
3	4.36	-51.5	-48.5	14.5
2	3.95	-45.5	-72.5	26.5
2	3.75	-45.5	-81.5	32.5
1	4.91	35.5	-45.5	-21.5
