Cluster Index	Z	x	y	z	
36	7.11	56.5	-39.5	50.5
36	6.77	50.5	-33.5	59.5
36	6.72	44.5	-39.5	53.5
36	6.57	44.5	-39.5	59.5
36	6.33	56.5	-45.5	44.5
36	6.27	35.5	-45.5	41.5
35	6.68	-27.5	-48.5	44.5
35	5.8	-45.5	-39.5	44.5
35	5.67	-42.5	-42.5	38.5
35	5.57	-39.5	-48.5	44.5
35	5.53	-24.5	-72.5	53.5
35	5.49	-39.5	-54.5	56.5
34	6.2	26.5	-69.5	47.5
34	5.86	29.5	-78.5	26.5
34	5.48	23.5	-72.5	53.5
34	5.01	32.5	-63.5	32.5
34	4.82	11.5	-78.5	41.5
34	4.62	29.5	-78.5	41.5
33	6.34	53.5	8.5	23.5
33	5.94	56.5	14.5	5.5
33	5.89	47.5	23.5	-6.5
33	5.75	50.5	14.5	-3.5
33	5.25	38.5	23.5	-6.5
33	4.93	50.5	11.5	5.5
32	5.54	41.5	32.5	17.5
32	5.25	26.5	62.5	-3.5
32	5.07	41.5	53.5	-0.5
32	5.01	38.5	41.5	11.5
32	4.98	44.5	38.5	14.5
32	4.93	47.5	41.5	20.5
31	6.03	8.5	23.5	32.5
31	5.31	2.5	14.5	50.5
31	5.2	-0.5	29.5	23.5
31	5.18	-3.5	14.5	47.5
31	5.05	-3.5	29.5	41.5
31	4.69	5.5	38.5	23.5
30	6.4	-42.5	44.5	26.5
30	4.92	-48.5	44.5	5.5
30	4.89	-39.5	56.5	14.5
30	4.87	-48.5	32.5	20.5
30	4.75	-39.5	47.5	32.5
30	4.51	-45.5	32.5	35.5
29	6.08	53.5	-60.5	-12.5
29	5.14	47.5	-54.5	-9.5
29	5.11	56.5	-45.5	-12.5
29	5.09	53.5	-51.5	-3.5
29	4.9	59.5	-54.5	-9.5
29	4.1	59.5	-48.5	2.5
28	5.65	-45.5	-69.5	-0.5
28	4.6	-48.5	-63.5	-3.5
28	4.48	-48.5	-69.5	-15.5
28	4.44	-57.5	-60.5	-12.5
28	4.3	-54.5	-69.5	-9.5
28	4.23	-39.5	-60.5	-0.5
27	5.03	-48.5	17.5	-6.5
27	4.52	-39.5	23.5	-6.5
27	4.26	-45.5	11.5	-3.5
27	4.17	-39.5	5.5	-0.5
26	5.52	-27.5	-84.5	32.5
26	4.63	-24.5	-75.5	29.5
26	4.62	-27.5	-81.5	17.5
26	4.45	-18.5	-84.5	17.5
26	3.8	-21.5	-87.5	23.5
25	7.3	2.5	-78.5	2.5
25	4.67	-0.5	-81.5	-3.5
25	4.64	-3.5	-81.5	-9.5
24	4.53	-21.5	-81.5	41.5
24	4.49	-18.5	-78.5	47.5
24	4.45	-27.5	-78.5	35.5
24	3.59	-21.5	-84.5	35.5
23	5.72	50.5	5.5	35.5
23	3.55	41.5	2.5	32.5
22	4.93	-54.5	-57.5	-0.5
22	4.69	-57.5	-63.5	2.5
21	4.34	29.5	47.5	-9.5
21	4.18	20.5	35.5	-15.5
21	3.98	29.5	41.5	-9.5
21	3.97	29.5	41.5	-15.5
20	5.88	38.5	32.5	35.5
20	3.36	35.5	41.5	44.5
19	4.65	32.5	23.5	11.5
19	3.95	32.5	26.5	2.5
18	4.71	-54.5	5.5	41.5
18	4.66	-51.5	2.5	35.5
18	3.7	-45.5	-0.5	35.5
18	3.49	-51.5	8.5	35.5
17	4.71	-15.5	-102	-12.5
17	3.47	-24.5	-96.5	-9.5
16	4.54	32.5	-81.5	11.5
15	5.12	29.5	56.5	20.5
15	3.52	23.5	62.5	23.5
15	3.52	35.5	56.5	23.5
14	4.15	-54.5	-30.5	50.5
13	4.78	62.5	-42.5	23.5
13	4.68	62.5	-36.5	20.5
12	4.14	-51.5	44.5	-6.5
11	4.39	11.5	-3.5	74.5
11	4.23	17.5	2.5	71.5
10	5.14	62.5	-15.5	26.5
9	4.64	-9.5	23.5	29.5
9	3.5	-9.5	32.5	26.5
8	4.25	-33.5	26.5	-3.5
8	4	-30.5	20.5	-9.5
7	4.7	-63.5	-45.5	35.5
7	4.29	-60.5	-51.5	35.5
7	3.44	-57.5	-51.5	41.5
6	5.48	-36.5	41.5	8.5
5	4.65	-33.5	-6.5	47.5
4	4.89	-39.5	-72.5	-0.5
3	4.97	-27.5	38.5	26.5
2	4.53	20.5	23.5	-15.5
2	3.54	26.5	23.5	-18.5
1	4.38	-24.5	-90.5	-18.5
1	3.53	-18.5	-93.5	-15.5
