Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
16	644	0	126	9	-0.5	-66.5	32.5	1.64	-59.8	24	198	-0.5	-66.5	32.5	81.1
15	501	0	106	7.22	62.5	-36.5	5.5	55.5	-33.4	4.37	159	62.5	-21.5	-0.5	79.6
14	477	0	102	7.33	-60.5	-9.5	-6.5	-54.8	-38.8	8.54	142	-66.5	-27.5	2.5	74.6
13	45	3.68e-20	19.4	6.2	-0.5	50.5	-12.5	0.0859	44.7	-14.9	149	-0.5	50.5	-12.5	91.7
12	32	9.38e-16	15	7.3	41.5	-54.5	-21.5	39.6	-49	-22	176	35.5	-45.5	-21.5	99.7
11	23	2.42e-12	11.6	6.9	23.5	-42.5	-9.5	23.4	-40.4	-9.7	147	23.5	-42.5	-9.5	91.1
10	20	4.14e-11	10.4	7.01	-42.5	-51.5	-21.5	-41	-51.5	-22.3	150	-42.5	-45.5	-24.5	98.2
9	14	1.94e-08	7.71	4.42	50.5	-3.5	-3.5	54.3	0.267	-0.922	93.8	59.5	5.5	-0.5	73.9
8	9	6.74e-06	5.17	5.68	-21.5	-39.5	-12.5	-19.1	-38.8	-13.5	133	-18.5	-39.5	-12.5	101
7	8	2.44e-05	4.61	5.58	-51.5	20.5	-21.5	-45.3	21.9	-26.8	136	-51.5	20.5	-21.5	89.9
6	8	2.44e-05	4.61	4.47	11.5	-72.5	-3.5	13.3	-76.8	-0.652	70.6	11.5	-75.5	-3.5	55.7
5	7	9.35e-05	4.03	4.9	-21.5	-12.5	-12.5	-22	-9.62	-11.6	128	-21.5	-12.5	-12.5	87.5
4	7	9.35e-05	4.03	4.87	17.5	-6.5	-15.5	20.3	-6.83	-13.6	119	17.5	-6.5	-15.5	89.8
3	6	0.000383	3.42	4.37	-3.5	50.5	38.5	-5.42	50	34.5	74.2	-3.5	50.5	38.5	56.2
2	6	0.000383	3.42	4.37	-18.5	-69.5	-30.5	-17	-71.5	-28.5	58.6	-15.5	-72.5	-27.5	51
1	6	0.000383	3.42	3.96	-30.5	23.5	44.5	-29.5	24	45.5	77.3	-30.5	23.5	44.5	55.6
