Cluster Index	Z	x	y	z	
14	5.04	-0.5	17.5	44.5
14	5.02	5.5	23.5	35.5
14	4.53	-3.5	32.5	38.5
13	4.63	-6.5	-45.5	38.5
13	3.95	-0.5	-51.5	38.5
12	4.59	-48.5	20.5	-6.5
12	4.34	-42.5	20.5	-0.5
12	3.61	-36.5	14.5	5.5
11	3.83	-6.5	-60.5	29.5
11	3.66	8.5	-57.5	32.5
10	4.23	2.5	-75.5	8.5
10	3.92	-3.5	-78.5	11.5
9	4.61	-0.5	14.5	32.5
9	4.18	-0.5	-0.5	35.5
9	3.95	-0.5	5.5	32.5
8	4.78	-33.5	17.5	-9.5
8	4.47	-42.5	20.5	-15.5
7	4.57	53.5	8.5	-21.5
7	4.17	50.5	2.5	-21.5
6	4.46	-3.5	56.5	41.5
6	4.33	-9.5	53.5	44.5
6	3.37	-9.5	53.5	38.5
5	4.68	2.5	-33.5	26.5
4	4.41	65.5	-51.5	8.5
4	4.15	62.5	-60.5	11.5
3	4.57	-9.5	2.5	38.5
3	3.75	-6.5	2.5	44.5
2	4.58	14.5	2.5	17.5
2	4.08	8.5	-0.5	8.5
1	4.64	-3.5	17.5	65.5
1	4.5	-6.5	14.5	59.5
