Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
45	323	0	78.4	8.05	-24.5	-69.5	59.5	-38.9	-53.4	46.1	84.9	-51.5	-36.5	56.5	35.7
44	302	0	74.9	8.2	44.5	-39.5	59.5	38.3	-49.2	48.3	150	47.5	-36.5	59.5	35.6
43	143	2.8e-45	44.6	6.77	-39.5	41.5	35.5	-46.8	38.7	17.3	77.6	-39.5	56.5	14.5	43.3
42	130	1.89e-42	41.7	7.23	47.5	47.5	14.5	41.5	47.4	20.3	84.6	47.5	47.5	14.5	47.1
41	116	3.11e-39	38.5	5.68	-0.5	-6.5	68.5	2.96	4.88	60.3	68.5	-0.5	17.5	47.5	34.6
40	111	4.7e-38	37.3	8.48	-48.5	-69.5	-15.5	-46.5	-62.6	-7.02	88.4	-48.5	-69.5	-15.5	40
39	82	8.04e-31	30.1	6.23	50.5	17.5	-3.5	53.3	12.9	17.7	90.6	47.5	17.5	-6.5	41.7
38	76	3.18e-29	28.5	6.75	-51.5	5.5	35.5	-50.4	7.63	27.2	64.9	-51.5	8.5	23.5	39.9
37	74	1.11e-28	28	8.24	47.5	-57.5	-9.5	48.1	-56.7	-11.1	72.7	47.5	-57.5	-9.5	40.6
36	58	3.72e-24	23.4	6.63	-27.5	-63.5	-12.5	-28	-61.9	-12.3	72.8	-30.5	-60.5	-15.5	41.7
35	42	3.47e-19	18.5	6.46	32.5	-90.5	17.5	32	-81.3	18.5	49.7	32.5	-90.5	17.5	28.3
34	36	3.65e-17	16.4	7.17	-21.5	-27.5	-6.5	-17.5	-30.3	-2.26	84	-21.5	-27.5	-6.5	50.7
33	32	9.38e-16	15	7.6	2.5	-84.5	-9.5	0.404	-82.9	-7.01	225	-0.5	-81.5	-3.5	132
32	31	2.16e-15	14.7	6.52	-30.5	-84.5	14.5	-28.1	-85.2	16.4	46.7	-27.5	-81.5	20.5	30.2
31	29	1.17e-14	13.9	4.86	-45.5	20.5	-3.5	-43.4	9.32	-0.661	102	-48.5	17.5	-6.5	47.3
30	28	2.77e-14	13.6	5.87	-57.5	-51.5	-15.5	-57.3	-47.8	-11.7	57.7	-54.5	-45.5	-12.5	36.6
29	26	1.6e-13	12.8	5.67	26.5	-45.5	-15.5	27.2	-53	-14.3	57.4	26.5	-45.5	-15.5	41.6
28	26	1.6e-13	12.8	10.1	-18.5	-99.5	-15.5	-23.1	-92.2	-12.2	142	-21.5	-99.5	-15.5	75.7
27	21	1.58e-11	10.8	6.86	23.5	-30.5	-0.5	21.8	-28.1	-2.4	61.7	23.5	-30.5	-0.5	43.3
26	21	1.58e-11	10.8	5.55	-0.5	32.5	38.5	-1.98	32.9	33.5	61.9	-0.5	32.5	32.5	41.9
25	20	4.14e-11	10.4	4.49	56.5	-15.5	26.5	59.9	-23.9	26.3	41.5	56.5	-15.5	26.5	32
24	18	2.97e-10	9.53	4.5	-12.5	23.5	8.5	-4.66	16.8	10.3	56.3	-3.5	11.5	11.5	43.4
23	18	2.97e-10	9.53	4.99	-39.5	38.5	-15.5	-36.3	40.7	-13.3	70.2	-36.5	35.5	-15.5	48.1
22	17	8.19e-10	9.09	7.41	32.5	-78.5	2.5	34.3	-79.7	2.63	47.1	32.5	-78.5	2.5	27.9
21	14	1.94e-08	7.71	5.24	-12.5	-21.5	41.5	-13.1	-22.8	40.9	43.3	-12.5	-21.5	41.5	31.2
20	13	5.96e-08	7.22	5.15	23.5	-12.5	65.5	27.3	-9.07	64.7	35.4	29.5	-6.5	59.5	24.9
19	12	1.79e-07	6.75	5.29	-27.5	2.5	68.5	-28.5	0.878	63.8	51.6	-27.5	2.5	68.5	32.5
18	11	5.96e-07	6.22	5.68	-30.5	47.5	38.5	-29.5	52.3	32.9	66.4	-30.5	56.5	26.5	46.1
17	10	1.97e-06	5.71	5.36	11.5	-18.5	38.5	12.4	-20.6	40.9	41.6	11.5	-18.5	38.5	31
16	9	6.74e-06	5.17	4.82	-48.5	-33.5	29.5	-43.7	-34.2	25	35.2	-39.5	-30.5	20.5	28.4
15	8	2.44e-05	4.61	5.73	-27.5	26.5	-15.5	-28.1	29.4	-14.8	67.8	-27.5	26.5	-15.5	48.1
14	8	2.44e-05	4.61	5.54	-48.5	-6.5	50.5	-46.6	-10.9	52.3	36.7	-48.5	-6.5	50.5	28.6
13	8	2.44e-05	4.61	7.64	-12.5	-87.5	-6.5	-14.1	-87.7	-4.79	64.5	-12.5	-90.5	-6.5	40.8
12	8	2.44e-05	4.61	4.59	-3.5	65.5	23.5	-2.79	61.5	19.5	61.1	-3.5	65.5	23.5	48.1
11	8	2.44e-05	4.61	5.69	-24.5	-36.5	68.5	-27.6	-37.6	70.2	38.1	-33.5	-39.5	71.5	28
10	7	9.35e-05	4.03	4.8	2.5	-36.5	-9.5	-0.25	-36.5	-9.81	55.4	5.5	-36.5	-9.5	49
9	7	9.35e-05	4.03	4.86	20.5	-24.5	59.5	15	-27.3	64.7	30.6	17.5	-27.5	62.5	22.5
8	7	9.35e-05	4.03	5.05	-18.5	-27.5	20.5	-19.4	-27.5	19.3	51.1	-18.5	-27.5	20.5	36.5
