Cluster Index	Z	x	y	z	
13	8.26	5.5	-81.5	14.5
13	7.77	2.5	-66.5	23.5
13	7.73	-18.5	-72.5	23.5
13	7.45	-0.5	-78.5	11.5
13	7.23	5.5	-72.5	14.5
13	7.22	20.5	-66.5	23.5
12	7.73	59.5	-36.5	5.5
12	6.41	50.5	-45.5	20.5
12	6.28	50.5	8.5	-24.5
12	6.23	59.5	-6.5	-6.5
12	6.22	47.5	-39.5	11.5
12	6.21	50.5	-9.5	-15.5
11	7.14	-51.5	-60.5	23.5
11	6.62	-69.5	-30.5	11.5
11	6.29	-66.5	-48.5	11.5
11	6.26	-63.5	-24.5	-0.5
11	6.1	-60.5	-18.5	5.5
11	6.1	-54.5	-51.5	17.5
10	5.72	-24.5	-48.5	-6.5
10	5.05	-18.5	-51.5	-0.5
10	4.84	-12.5	-45.5	-0.5
10	4.73	-24.5	-57.5	2.5
10	4.06	-30.5	-48.5	-3.5
9	9.04	41.5	-51.5	-21.5
8	5.34	-51.5	2.5	-21.5
8	4.95	-54.5	5.5	-12.5
8	4.62	-51.5	11.5	-24.5
8	4.14	-57.5	8.5	-27.5
8	4.01	-51.5	-0.5	-15.5
7	6.22	-45.5	-54.5	-24.5
7	6.06	-42.5	-60.5	-21.5
7	5.58	-42.5	-45.5	-24.5
7	4.93	-36.5	-54.5	-18.5
7	3.86	-39.5	-36.5	-18.5
6	4.47	5.5	32.5	-18.5
6	4.19	-6.5	35.5	-18.5
5	5.21	-18.5	-39.5	-12.5
4	5.03	56.5	-66.5	29.5
3	4.28	-3.5	-72.5	-27.5
2	6.19	14.5	-90.5	20.5
2	4.53	17.5	-90.5	26.5
1	4.85	41.5	-81.5	29.5
