Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
13	855	0	152	8.26	5.5	-81.5	14.5	3.73	-64.7	19.1	124	11.5	-84.5	5.5	45
12	484	0	103	7.73	59.5	-36.5	5.5	55.4	-30.9	3.63	91.4	59.5	-36.5	5.5	44.7
11	384	0	88.3	7.14	-51.5	-60.5	23.5	-55	-44.5	11.2	96.3	-63.5	-15.5	11.5	40.7
10	33	4.12e-16	15.4	5.72	-24.5	-48.5	-6.5	-21.5	-47.6	-3.81	73.3	-9.5	-42.5	-0.5	46.5
9	31	2.16e-15	14.7	9.04	41.5	-51.5	-21.5	40.3	-49	-22.2	103	41.5	-51.5	-21.5	59.6
8	26	1.6e-13	12.8	5.34	-51.5	2.5	-21.5	-54.6	4.43	-18.8	55	-51.5	2.5	-21.5	39.6
7	26	1.6e-13	12.8	6.22	-45.5	-54.5	-24.5	-41.4	-51.4	-22.6	90.3	-45.5	-54.5	-24.5	55.4
6	13	5.96e-08	7.22	4.47	5.5	32.5	-18.5	0.942	34.9	-18.8	54.3	2.5	29.5	-21.5	45.9
5	13	5.96e-08	7.22	5.21	-18.5	-39.5	-12.5	-18.9	-39.8	-13.2	72.8	-18.5	-39.5	-12.5	50.4
4	12	1.79e-07	6.75	5.03	56.5	-66.5	29.5	56.5	-63.4	29.2	66.4	56.5	-60.5	32.5	40.1
3	9	6.74e-06	5.17	4.28	-3.5	-72.5	-27.5	-1.48	-70.9	-25.6	36.1	-3.5	-72.5	-27.5	28.2
2	8	2.44e-05	4.61	6.19	14.5	-90.5	20.5	17.2	-88.8	24.7	42.6	14.5	-90.5	20.5	33.8
1	6	0.000383	3.42	4.85	41.5	-81.5	29.5	42.5	-80.1	28.9	40.3	41.5	-81.5	29.5	32
