Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
36	279	0	70.9	7.11	56.5	-39.5	50.5	45.9	-43.5	48.5	165	50.5	-33.5	59.5	55.5
35	153	0	46.8	6.68	-27.5	-48.5	44.5	-39.3	-51.1	48.3	102	-42.5	-54.5	59.5	49.3
34	106	7.4e-37	36.1	6.2	26.5	-69.5	47.5	25.4	-71.6	39.5	82.4	32.5	-69.5	32.5	48.3
33	105	1.29e-36	35.9	6.34	53.5	8.5	23.5	51	13.6	8.61	125	50.5	20.5	-3.5	68.6
32	97	1.18e-34	33.9	5.54	41.5	32.5	17.5	41.2	45.2	12.3	102	26.5	62.5	-3.5	58.1
31	95	3.73e-34	33.4	6.03	8.5	23.5	32.5	3.16	22.5	37.7	94.1	-0.5	29.5	23.5	54.9
30	65	3.51e-26	25.5	6.4	-42.5	44.5	26.5	-42.5	44.4	20	122	-36.5	59.5	14.5	63.3
29	52	2.36e-22	21.6	6.08	53.5	-60.5	-12.5	54	-55.8	-7.66	82.3	56.5	-45.5	-12.5	52
28	32	9.38e-16	15	5.65	-45.5	-69.5	-0.5	-48.6	-63.6	-6.84	81.2	-48.5	-63.5	-3.5	53.7
27	22	6.15e-12	11.2	5.03	-48.5	17.5	-6.5	-43.9	15.1	-3.25	150	-48.5	17.5	-6.5	77
26	22	6.15e-12	11.2	5.52	-27.5	-84.5	32.5	-24.6	-81.8	23.8	69.1	-24.5	-81.5	17.5	46.8
25	21	1.58e-11	10.8	7.3	2.5	-78.5	2.5	-0.393	-79.6	-2.01	222	-0.5	-81.5	-3.5	131
24	15	6.61e-09	8.18	4.53	-21.5	-81.5	41.5	-24.3	-80.1	40.5	59.7	-27.5	-81.5	38.5	43.8
23	15	6.61e-09	8.18	5.72	50.5	5.5	35.5	48.3	6.53	36.3	99.6	47.5	5.5	35.5	60.9
22	14	1.94e-08	7.71	4.93	-54.5	-57.5	-0.5	-56.6	-60.3	0.424	59.4	-54.5	-57.5	-0.5	47
21	14	1.94e-08	7.71	4.34	29.5	47.5	-9.5	26.8	42.2	-13.5	76.8	32.5	44.5	-15.5	61.3
20	14	1.94e-08	7.71	5.88	38.5	32.5	35.5	38.5	33.3	36.1	78.2	38.5	32.5	35.5	47.9
19	13	5.96e-08	7.22	4.65	32.5	23.5	11.5	32	23.4	6.56	90.2	32.5	23.5	8.5	61.1
18	12	1.79e-07	6.75	4.71	-54.5	5.5	41.5	-49.4	2.8	38.6	67.6	-51.5	2.5	38.5	50.6
17	10	1.97e-06	5.71	4.71	-15.5	-102	-12.5	-16.4	-102	-10.8	113	-12.5	-102	-9.5	91.2
16	10	1.97e-06	5.71	4.54	32.5	-81.5	11.5	31.6	-81.8	13.7	52.4	32.5	-84.5	14.5	43
15	9	6.74e-06	5.17	5.12	29.5	56.5	20.5	28.2	57.3	23.7	71.3	29.5	56.5	20.5	58.1
14	9	6.74e-06	5.17	4.15	-54.5	-30.5	50.5	-54.2	-30.8	48.5	45.6	-54.5	-30.5	50.5	40.7
13	8	2.44e-05	4.61	4.78	62.5	-42.5	23.5	63.9	-39.2	22.4	66.7	62.5	-36.5	20.5	50.7
12	8	2.44e-05	4.61	4.14	-51.5	44.5	-6.5	-51	43.6	-6.58	73.8	-51.5	44.5	-6.5	62.6
11	8	2.44e-05	4.61	4.39	11.5	-3.5	74.5	14.2	-0.261	73	48.8	11.5	-3.5	74.5	41.4
10	8	2.44e-05	4.61	5.14	62.5	-15.5	26.5	60.6	-15.9	27.6	76.1	59.5	-15.5	26.5	55
9	7	9.35e-05	4.03	4.64	-9.5	23.5	29.5	-9.5	24.1	29.5	63.7	-9.5	23.5	29.5	50.4
8	6	0.000383	3.42	4.25	-33.5	26.5	-3.5	-31.1	25.1	-5.47	75.1	-33.5	26.5	-3.5	60.2
7	6	0.000383	3.42	4.7	-63.5	-45.5	35.5	-60.7	-50.3	37.3	51	-63.5	-45.5	35.5	40.4
6	6	0.000383	3.42	5.48	-36.5	41.5	8.5	-36.6	42.9	8.91	73.1	-36.5	41.5	8.5	51.3
5	6	0.000383	3.42	4.65	-33.5	-6.5	47.5	-33.5	-5.96	47.9	53.3	-33.5	-6.5	47.5	40.8
4	6	0.000383	3.42	4.89	-39.5	-72.5	-0.5	-40.5	-74	-1.11	67.1	-39.5	-72.5	2.5	50.2
3	6	0.000383	3.42	4.97	-27.5	38.5	26.5	-28.5	39.1	26.1	62.8	-27.5	38.5	26.5	49.1
2	6	0.000383	3.42	4.53	20.5	23.5	-15.5	23.3	25	-17.3	77.1	20.5	23.5	-15.5	63.4
1	6	0.000383	3.42	4.38	-24.5	-90.5	-18.5	-22.2	-89.5	-17.1	164	-18.5	-90.5	-18.5	97.8
